"UID","Xsugg","Ysugg","Type"
"4088-17-1-65-1",706230.10,3972308.80,"tract"
"4088-18-1-65-1",706244.20,3972317.10,"tract"
"4089-17-1-15-1",706230.00,3972358.00,"tract"
"4138-14-1-15-1",705882.80,3972391.30,"tract"
"4144-17-1-5-1",706460.00,3972239.40,"tract"
"4147-29-1-75-1",706383.40,3972147.90,"tract"
"4148-29-1-25-1",706422.50,3972146.70,"tract"
"4159-18-1-25-1",706472.60,3972117.60,"tract"
"4163-17-1-65-10",706562.00,3972155.00,"tract"
"4163-17-1-65-11",706560.50,3972151.90,"tract"
"4163-17-1-65-12",706561.60,3972152.70,"tract"
"4163-17-1-65-13",706561.30,3972151.70,"tract"
"4163-17-1-65-14",706561.70,3972154.80,"tract"
"4163-17-1-65-15",706562.00,3972158.30,"tract"
"4163-17-1-65-16",706560.20,3972156.50,"tract"
"4163-17-1-65-17",706562.00,3972152.30,"tract"
"4163-17-1-65-18",706561.40,3972157.80,"tract"
"4163-17-1-65-19",706560.20,3972153.10,"tract"
"4163-17-1-65-2",706561.20,3972151.00,"tract"
"4163-17-1-65-20",706561.00,3972153.40,"tract"
"4163-17-1-65-21",706561.40,3972152.80,"tract"
"4163-17-1-65-22",706560.50,3972154.60,"tract"
"4163-17-1-65-24",706561.30,3972157.90,"tract"
"4163-17-1-65-25",706562.60,3972152.70,"tract"
"4163-17-1-65-26",706561.60,3972159.80,"tract"
"4163-17-1-65-3",706560.70,3972159.80,"tract"
"4163-17-1-65-4",706560.40,3972155.00,"tract"
"4163-17-1-65-5",706561.40,3972156.20,"tract"
"4163-17-1-65-6",706561.00,3972155.40,"tract"
"4163-17-1-65-7",706560.40,3972155.60,"tract"
"4163-17-1-65-8",706560.40,3972157.50,"tract"
"4163-17-1-65-9",706561.50,3972159.90,"tract"
"4163-17-1-75-1",706560.20,3972166.00,"tract"
"4163-39-1-65-1",706544.50,3972159.20,"tract"
"4163-39-1-65-2",706544.40,3972156.30,"tract"
"4163-39-1-65-3",706545.50,3972157.50,"tract"
"4163-39-1-65-5",706544.30,3972156.20,"tract"
"4163-39-1-65-6",706544.40,3972153.00,"tract"
"4163-39-1-65-7",706544.20,3972157.50,"tract"
"4164-17-1-55-1",706561.40,3972038.40,"tract"
"4164-17-1-85-1",706560.90,3972011.90,"tract"
"4168-14-1-35-1",706612.10,3971891.60,"tract"
"4168-17-1-95-1",706641.00,3971838.60,"tract"
"4168-17-1-95-2",706640.70,3971838.50,"tract"
"4168-17-1-95-3",706641.60,3971837.70,"tract"
"4168-17-1-95-4",706640.50,3971835.70,"tract"
"4168-17-1-95-5",706641.60,3971838.50,"tract"
"4168-29-1-25-1",706625.60,3971905.00,"tract"
"4168-29-1-25-2",706627.10,3971901.80,"tract"
"4168-29-1-25-3",706626.00,3971905.30,"tract"
"4168-29-1-25-5",706625.80,3971901.70,"tract"
"4168-29-1-25-7",706626.10,3971904.20,"tract"
"4168-29-1-95-1",706626.90,3971844.00,"tract"
"4169-14-1-35-3",706669.40,3971956.20,"tract"
"4169-14-1-45-4",706669.60,3971965.60,"tract"
"4169-14-1-55-1",706669.80,3971978.10,"tract"
"4170-14-1-5-1",706670.60,3972301.10,"tract"
"4170-14-1-5-2",706672.10,3972295.20,"tract"
"4171-14-1-75-1",706671.10,3972130.30,"tract"
"4171-18-1-35-1",706608.40,3972171.30,"tract"
"4172-14-1-15-1",706669.80,3972098.20,"tract"
"4172-17-1-5-1",706639.10,3972107.60,"tract"
"4172-17-1-5-2",706638.90,3972103.40,"tract"
"4172-17-1-5-3",706639.90,3972108.80,"tract"
"4172-17-1-55-1",706639.40,3972061.30,"tract"
"4172-17-1-55-3",706640.10,3972054.60,"tract"
"4172-17-1-55-4",706640.00,3972057.40,"tract"
"4178-14-1-65-2",706601.10,3971832.10,"tract"
"4178-14-1-75-1",706598.10,3971830.50,"tract"
"4180-29-1-15-1",706563.80,3971731.50,"tract"
"4189-39-1-35-1",706425.80,3971682.50,"tract"
"4204-14-1-45-1",706299.70,3971553.50,"tract"
"4209-39-1-35-1",706734.90,3972424.10,"tract"
"4210-14-1-25-1",706686.10,3972331.70,"tract"
"4210-17-1-95-1",706718.10,3972265.70,"tract"
"4210-29-1-25-1",706703.00,3972327.90,"tract"
"4210-29-1-85-1",706703.10,3972277.30,"tract"
"4210-39-1-75-1",706734.50,3972280.70,"tract"
"4211-14-1-5-2",706687.20,3972258.30,"tract"
"4211-14-1-5-3",706687.40,3972259.10,"tract"
"4211-14-1-5-4",706686.50,3972254.40,"tract"
"4211-29-1-75-1",706701.70,3972187.60,"tract"
"4212-14-1-75-1",706686.20,3972088.60,"tract"
"4213-14-1-95-1",706749.20,3972010.70,"tract"
"4213-29-1-5-1",706702.40,3972065.90,"tract"
"4213-29-1-75-1",706702.80,3971997.10,"tract"
"4214-14-1-15-1",706686.30,3971958.30,"tract"
"4214-14-1-15-2",706686.50,3971949.60,"tract"
"4214-14-1-15-3",706685.50,3971951.80,"tract"
"4214-14-1-35-6",706686.20,3971934.50,"tract"
"4214-14-1-35-9",706686.30,3971929.40,"tract"
"4214-29-1-75-1",706703.40,3971923.30,"tract"
"4214-29-1-75-2",706702.40,3971922.70,"tract"
"4215-14-1-35-1",706778.30,3971915.10,"tract"
"4217-29-1-35-1",706731.30,3971959.20,"tract"
"4218-17-1-5-1",706801.70,3971992.10,"tract"
"4220-14-1-5-1",706832.10,3972050.50,"tract"
"4220-29-1-15-1",706816.00,3972052.60,"tract"
"4221-14-1-5-4",706814.70,3972188.00,"tract"
"4222-39-1-5-2",706780.30,3972215.00,"tract"
"4223-17-1-15-1",706796.60,3972271.70,"tract"
"4223-17-1-5-1",706797.00,3972260.30,"tract"
"4223-17-1-5-2",706796.70,3972264.70,"tract"
"4223-17-1-55-1",706796.70,3972311.20,"tract"
"4231-17-1-55-1",706874.00,3972396.60,"tract"
"4231-39-1-85-2",706890.10,3972373.40,"tract"
"4232-29-1-5-1",706859.40,3972351.50,"tract"
"4232-29-1-55-2",706858.90,3972300.20,"tract"
"4236-29-1-5-1",706897.80,3972219.10,"tract"
"4237-29-1-95-1",706945.50,3972358.30,"tract"
"4239-39-1-5-1",706937.20,3972454.80,"tract"
"4253-17-1-25-2",707050.10,3972188.70,"tract"
"4253-17-1-25-3",707056.40,3972187.90,"tract"
"4253-17-1-25-4",707048.90,3972190.10,"tract"
"4253-17-1-25-5",707054.10,3972188.30,"tract"
"4253-17-1-25-6",707056.10,3972188.70,"tract"
"4253-29-1-65-1",707026.40,3972177.20,"tract"
"4253-29-1-65-2",707028.10,3972178.00,"tract"
"4253-39-1-15-1",707061.70,3972201.30,"tract"
"4253-39-1-25-1",707051.80,3972204.50,"tract"
"4254-14-1-45-2",706976.20,3972174.70,"tract"
"4256-39-1-55-1",707001.10,3972245.80,"tract"
"4259-20-1-55-1",706968.90,3972149.50,"tract"
"4260-18-1-25-1",707006.00,3972088.40,"tract"
"4260-18-1-25-2",707007.20,3972086.70,"tract"
"4260-18-1-35-1",707003.80,3972083.00,"tract"
"4260-18-1-35-2",707003.60,3972083.50,"tract"
"4260-18-1-35-3",707003.60,3972084.20,"tract"
"4260-18-1-35-5",707005.70,3972086.00,"tract"
"4260-20-1-15-2",707019.90,3972077.70,"tract"
"4260-20-1-15-3",707019.30,3972077.80,"tract"
"4260-29-1-15-1",706998.00,3972105.40,"tract"
"4260-29-1-15-5",706994.40,3972100.30,"tract"
"4260-29-1-35-1",706987.40,3972087.70,"tract"
"4260-29-1-35-2",706985.70,3972086.40,"tract"
"4260-29-1-35-3",706986.80,3972086.60,"tract"
"4260-29-1-35-4",706988.10,3972087.60,"tract"
"4260-29-1-35-5",706990.30,3972092.20,"tract"
"4260-29-1-35-6",706990.00,3972091.00,"tract"
"4260-29-1-35-7",706989.40,3972092.60,"tract"
"4260-29-1-5-2",707000.90,3972112.80,"tract"
"4260-29-1-5-3",706999.30,3972107.20,"tract"
"4261-20-1-25-2",706971.00,3972069.90,"tract"
"4261-20-1-45-1",706955.80,3972079.20,"tract"
"4261-20-1-75-2",706936.90,3972089.30,"tract"
"4261-29-1-15-1",706960.80,3972063.10,"tract"
"4261-29-1-15-2",706962.00,3972061.10,"tract"
"4261-29-1-15-3",706969.50,3972057.40,"tract"
"4261-29-1-15-10",706963.40,3972060.40,"tract"
"4261-29-1-15-4",706961.80,3972062.60,"tract"
"4261-29-1-15-5",706962.10,3972061.40,"tract"
"4261-29-1-15-6",706971.00,3972056.50,"tract"
"4261-29-1-15-7",706969.50,3972057.00,"tract"
"4261-29-1-15-8",706969.00,3972057.80,"tract"
"4261-29-1-25-1",706949.90,3972068.40,"tract"
"4261-29-1-25-2",706947.90,3972070.10,"tract"
"4261-29-1-25-3",706958.70,3972063.60,"tract"
"4261-29-1-5-2",706980.90,3972050.80,"tract"
"4261-29-1-5-3",706982.00,3972050.90,"tract"
"4261-29-1-5-5",706975.20,3972055.80,"tract"
"4262-20-1-35-1",706919.10,3972124.40,"tract"
"4262-20-1-55-10",706919.00,3972112.10,"tract"
"4262-20-1-55-11",706919.30,3972107.00,"tract"
"4262-20-1-55-2",706919.40,3972112.30,"tract"
"4262-20-1-55-3",706919.00,3972112.20,"tract"
"4262-20-1-55-5",706917.80,3972106.20,"tract"
"4262-20-1-55-9",706919.60,3972107.20,"tract"
"4262-20-1-85-1",706919.00,3972091.20,"tract"
"4265-20-1-25-2",706911.80,3972058.00,"tract"
"4268-18-1-5-1",707067.40,3972005.90,"tract"
"4272-20-1-5-1",706956.80,3971757.70,"tract"
"4276-29-1-85-1",706984.80,3971940.80,"tract"
"4277-20-1-95-1",706983.20,3972045.90,"tract"
"4282-29-1-25-1",706824.30,3971579.50,"tract"
"4283-18-1-5-1",706854.90,3971516.30,"tract"
"4283-20-1-35-1",706889.50,3971508.80,"tract"
"4285-14-1-5-1",706842.70,3971609.50,"tract"
"4285-17-1-75-1",706786.90,3971639.90,"tract"
"4285-17-1-75-3",706790.10,3971640.00,"tract"
"4285-17-1-85-2",706777.60,3971639.50,"tract"
"4285-17-1-85-3",706780.30,3971640.10,"tract"
"4285-17-1-95-1",706765.60,3971638.60,"tract"
"4285-17-1-95-2",706769.20,3971638.40,"tract"
"4285-17-1-95-3",706767.80,3971639.30,"tract"
"4285-29-1-55-2",706791.20,3971624.30,"tract"
"4285-29-1-55-3",706792.50,3971624.60,"tract"
"4285-29-1-75-1",706774.90,3971624.10,"tract"
"4286-14-1-5-1",706761.00,3971633.90,"tract"
"4286-14-1-5-2",706765.00,3971634.70,"tract"
"4286-14-1-5-3",706765.10,3971632.90,"tract"
"4286-20-1-25-1",706748.80,3971650.50,"tract"
"4287-14-1-15-1",706712.80,3971750.20,"tract"
"4287-14-1-75-1",706773.70,3971750.10,"tract"
"4287-14-1-75-2",706767.50,3971751.70,"tract"
"4287-17-1-15-1",706739.00,3971718.90,"tract"
"4287-17-1-15-2",706741.60,3971717.40,"tract"
"4287-17-1-15-3",706740.10,3971717.60,"tract"
"4287-17-1-5-1",706729.70,3971718.20,"tract"
"4287-17-1-5-3",706732.60,3971718.70,"tract"
"4287-20-1-25-1",706753.00,3971700.40,"tract"
"4287-20-1-5-1",706730.90,3971702.30,"tract"
"4287-20-1-5-4",706730.80,3971701.00,"tract"
"4287-20-1-5-5",706730.30,3971701.60,"tract"
"4287-20-1-5-6",706728.70,3971701.60,"tract"
"4287-20-1-5-7",706736.10,3971700.80,"tract"
"4287-20-1-5-8",706734.00,3971702.20,"tract"
"4287-29-1-5-2",706718.50,3971734.90,"tract"
"4287-29-1-5-3",706719.20,3971734.30,"tract"
"4287-29-1-55-1",706763.20,3971734.30,"tract"
"4287-29-1-55-2",706769.40,3971734.20,"tract"
"4287-29-1-75-1",706786.40,3971733.60,"tract"
"4287-29-1-75-2",706791.50,3971734.00,"tract"
"4287-29-1-75-3",706783.00,3971733.60,"tract"
"4288-29-1-25-1",706812.20,3971734.30,"tract"
"4288-29-1-25-2",706812.50,3971735.50,"tract"
"4292-20-1-15-1",706912.60,3971927.00,"tract"
"4292-20-1-15-2",706912.60,3971927.20,"tract"
"4292-20-1-15-4",706914.30,3971929.40,"tract"
"4296-29-1-5-1",706807.00,3971760.60,"tract"
"4298-28-1-5-9",707227.20,3973933.70,"tract"
"4299-28-1-15-9",707215.90,3973999.90,"tract"
"4305-29-1-25-5",707169.00,3973930.60,"tract"
"4306-15-1-45-1",707101.50,3974005.30,"tract"
"4306-15-1-45-2",707101.60,3974005.70,"tract"
"4307-15-1-45-6",707249.10,3973886.20,"tract"
"4307-26-1-25-4",707218.50,3973905.30,"tract"
"4307-28-1-15-3",707229.70,3973920.70,"tract"
"4307-28-1-25-1",707231.00,3973912.40,"tract"
"4307-28-1-25-3",707232.60,3973903.50,"tract"
"4307-28-1-35-1",707233.10,3973895.50,"tract"
"4307-28-1-35-4",707232.60,3973897.40,"tract"
"4307-29-1-35-1",707192.30,3973894.90,"tract"
"4309-15-1-15-4",707253.80,3973864.80,"tract"
"4309-15-1-15-5",707252.20,3973868.10,"tract"
"4309-15-1-15-6",707254.80,3973861.50,"tract"
"4309-15-1-15-7",707252.20,3973868.60,"tract"
"4309-26-1-25-4",707230.60,3973832.40,"tract"
"4309-28-1-15-10",707240.00,3973863.50,"tract"
"4309-28-1-15-17",707239.40,3973868.80,"tract"
"4309-28-1-15-20",707240.10,3973863.50,"tract"
"4309-28-1-15-21",707241.40,3973857.60,"tract"
"4309-28-1-15-5",707239.80,3973858.80,"tract"
"4309-28-1-25-1",707241.50,3973856.00,"tract"
"4309-28-1-25-12",707240.20,3973855.80,"tract"
"4309-28-1-25-13",707239.80,3973856.60,"tract"
"4309-28-1-25-2",707241.10,3973851.80,"tract"
"4309-28-1-25-3",707240.90,3973853.40,"tract"
"4309-28-1-25-4",707241.50,3973853.40,"tract"
"4309-28-1-25-5",707240.90,3973855.70,"tract"
"4309-28-1-25-6",707241.00,3973855.40,"tract"
"4309-28-1-25-7",707241.80,3973850.10,"tract"
"4310-15-1-45-1",707318.30,3973886.70,"tract"
"4310-20-1-35-9",707278.90,3973878.30,"tract"
"4310-20-1-5-6",707286.30,3973838.70,"tract"
"4310-28-1-45-12",707303.30,3973889.60,"tract"
"4310-29-1-35-1",707264.40,3973875.70,"tract"
"4310-29-1-35-6",707265.60,3973871.50,"tract"
"4311-20-1-5-2",707308.80,3973838.20,"tract"
"4311-20-1-5-3",707309.70,3973832.20,"tract"
"4311-26-1-5-2",707292.70,3973835.20,"tract"
"4311-29-1-25-1",707328.80,3973819.30,"tract"
"4312-26-1-5-7",707288.90,3973892.80,"tract"
"4315-35-1-35-1",707263.10,3974094.90,"tract"
"4330-28-1-35-1",707339.30,3973861.80,"tract"
"4332-20-1-5-2",707296.40,3973807.40,"tract"
"4332-20-1-5-3",707289.40,3973807.30,"tract"
"4332-20-1-5-4",707297.10,3973807.10,"tract"
"4333-20-1-35-1",707223.00,3973808.20,"tract"
"5027-1-1-55-1",707985.00,3973415.50,"tract"
"5027-1-1-95-1",707946.90,3973415.10,"tract"
"5041-7-1-15-1",707919.30,3973546.70,"tract"
"5056-23-1-35-1",707863.00,3973900.00,"tract"
"5071-2-1-45-1",708096.40,3973718.20,"tract"
"5093-21-1-5-1",708560.90,3973785.30,"tract"
"5124-1-1-5-2",708853.40,3973507.50,"tract"
"5130-11-1-5-1",708525.00,3973522.60,"tract"
"5130-4-1-5-1",708522.60,3973474.90,"tract"
"5203-11-1-75-1",708748.30,3972663.60,"tract"
"5211-12-1-25-1",708357.40,3972648.00,"tract"
"5215-23-1-95-1",708793.30,3972602.30,"tract"
"5216-12-1-85-1",708880.10,3972649.10,"tract"
"5216-12-1-85-3",708875.00,3972648.50,"tract"
"5216-12-1-85-4",708879.90,3972649.30,"tract"
"5218-23-1-5-1",708989.50,3972601.00,"tract"
"5223-23-1-75-2",708691.30,3972522.70,"tract"
"5227-12-1-95-1",708301.00,3972569.70,"tract"
"6002-25-1-15-3",708261.40,3971770.10,"tract"
"6003-15-1-35-1",708248.10,3971694.00,"tract"
"6003-2-1-55-1",708217.00,3971727.40,"tract"
"6003-26-1-25-1",708248.10,3971710.40,"tract"
"6004-25-1-35-1",708261.00,3971781.90,"tract"
"6005-2-1-5-1",708308.90,3971809.60,"tract"
"6006-20-1-65-1",708325.10,3971742.60,"tract"
"6006-20-1-75-1",708326.20,3971739.80,"tract"
"6019-16-1-55-1",708458.80,3971613.50,"tract"
"6020-20-1-45-1",708476.60,3971553.80,"tract"
"6022-20-1-25-2",708423.70,3971541.30,"tract"
"6025-20-1-25-1",708425.00,3971396.40,"tract"
"6025-20-1-45-1",708424.40,3971374.80,"tract"
"6029-20-1-55-1",708288.70,3971579.50,"tract"
"6031-20-1-5-1",708288.10,3971628.50,"tract"
"6032-32-1-15-1",708222.40,3971673.70,"tract"
"6034-2-1-5-1",708238.70,3971477.20,"tract"
"6034-2-1-55-1",708240.00,3971424.30,"tract"
"6036-16-1-15-5",708188.20,3971398.40,"tract"
"6038-16-1-35-1",708186.40,3971494.80,"tract"
"6040-20-1-25-1",708193.90,3971401.90,"tract"
"6063-2-1-5-1",708516.80,3971425.30,"tract"
"6063-2-1-5-3",708517.10,3971426.00,"tract"
"6063-20-1-5-1",708537.70,3971426.20,"tract"
"6063-21-1-25-1",708504.50,3971359.20,"tract"
"6063-28-1-15-1",708539.90,3971423.00,"tract"
"6063-28-1-15-2",708539.60,3971421.00,"tract"
"6063-28-1-15-3",708541.30,3971419.80,"tract"
"6063-28-1-95-1",708566.50,3971364.10,"tract"
"6064-2-1-15-1",708566.20,3971326.80,"tract"
"6064-2-1-15-2",708566.60,3971324.40,"tract"
"6064-21-1-35-4",708528.60,3971321.30,"tract"
"6064-21-1-35-3",708529.00,3971321.50,"tract"
"6064-21-1-95-1",708538.80,3971300.20,"tract"
"6064-21-1-95-3",708537.90,3971300.10,"tract"
"6064-27-1-55-1",708598.50,3971338.00,"tract"
"6064-28-1-15-1",708575.00,3971347.80,"tract"
"6067-23-1-45-1",708519.20,3971288.90,"tract"
"6067-27-1-55-1",708476.40,3971243.80,"tract"
"6072-27-1-25-1",708363.50,3971131.60,"tract"
"6077-28-1-95-1",708302.60,3971171.10,"tract"
"6079-28-1-45-1",708306.60,3971106.50,"tract"
"6089-28-1-45-1",708226.40,3971239.40,"tract"
"6090-32-1-15-1",708188.80,3971225.60,"tract"
"6092-2-1-45-2",708161.50,3971325.20,"tract"
"6100-27-1-15-2",708188.10,3971090.10,"tract"
"6100-28-1-25-1",708172.90,3971080.00,"tract"
"6100-28-1-55-1",708146.60,3971101.70,"tract"
"6100-28-1-55-2",708147.50,3971100.40,"tract"
"6100-28-1-55-4",708150.60,3971096.70,"tract"
"6100-28-1-55-5",708148.60,3971100.00,"tract"
"6101-28-1-55-1",708237.90,3971160.10,"tract"
"6101-28-1-55-2",708239.40,3971161.30,"tract"
"6102-2-1-65-1",708298.80,3971099.70,"tract"
"6103-28-1-15-1",708230.80,3971109.70,"tract"
"6103-28-1-15-2",708223.20,3971109.80,"tract"
"6104-27-1-15-3",708208.60,3971070.10,"tract"
"6106-28-1-55-2",708205.40,3971005.10,"tract"
"6111-2-1-15-1",708474.00,3971326.30,"tract"
"6111-27-1-65-1",708459.80,3971376.30,"tract"
"6112-27-1-45-1",708499.80,3971397.60,"tract"
"6112-27-1-45-2",708498.80,3971396.90,"tract"
"6112-27-1-45-3",708499.60,3971397.30,"tract"
"6112-27-1-45-4",708500.50,3971398.00,"tract"
"6112-27-1-45-6",708500.50,3971399.10,"tract"
"6112-27-1-45-7",708499.10,3971397.30,"tract"
"6112-27-1-65-1",708503.50,3971404.90,"tract"
"6112-27-1-65-2",708504.40,3971405.00,"tract"
"6112-27-1-65-4",708503.30,3971405.60,"tract"
"6112-36-1-15-1",708460.50,3971400.60,"tract"
"6112-36-1-15-2",708461.30,3971400.50,"tract"
"6120-36-1-15-1",708442.30,3971030.00,"tract"
"6121-27-1-15-1",708156.20,3970981.10,"tract"
"6121-27-1-65-1",708216.40,3970979.80,"tract"
"6121-27-1-65-2",708214.10,3970981.30,"tract"
"6121-27-1-65-4",708216.70,3970979.70,"tract"
"6122-36-1-5-1",708230.00,3971013.80,"tract"
"6124-27-1-5-1",708259.60,3971084.90,"tract"
"6125-35-1-65-2",708288.10,3971034.90,"tract"
"6191-5-1-25-1",708824.20,3969940.10,"tract"
"6194-36-1-35-1",708926.90,3970059.10,"tract"
"6194-36-1-35-2",708925.60,3970068.40,"tract"
"6194-36-1-35-3",708926.70,3970063.80,"tract"
"6194-36-1-35-4",708925.10,3970059.00,"tract"
"6194-36-1-35-7",708926.10,3970062.00,"tract"
"6194-36-1-35-8",708927.00,3970069.50,"tract"
"6195-35-1-5-1",708911.50,3970049.90,"tract"
"6198-14-1-75-1",709291.50,3970008.40,"tract"
"6199-14-1-15-1",709261.50,3970085.70,"tract"
"6202-14-1-45-2",709231.20,3970172.20,"tract"
"6202-36-1-75-1",709245.70,3970161.90,"tract"
"6207-36-1-5-1",709159.10,3969883.10,"tract"
"6229-2-1-75-1",709096.60,3970110.60,"tract"
"6232-36-1-15-1",709169.50,3970276.80,"tract"
"7036-23-1-65-1",708426.30,3972221.80,"tract"
"7049-26-1-65-1",708952.30,3972071.30,"tract"
"7058-11-1-45-2",708792.90,3973382.40,"tract"
"7058-11-1-45-1",708792.60,3973382.90,"tract"
"7058-26-1-45-1",708792.50,3973444.70,"tract"
"7058-33-1-85-1",708825.90,3973429.50,"tract"
"7058-33-1-85-2",708825.00,3973429.30,"tract"
"7058-33-1-85-3",708832.00,3973428.70,"tract"
"7058-33-1-85-4",708824.50,3973429.50,"tract"
"7058-33-1-85-5",708824.60,3973428.20,"tract"
"7058-33-1-85-7",708825.40,3973428.60,"tract"
"7058-33-1-85-8",708825.50,3973429.40,"tract"
"7058-33-1-85-9",708833.40,3973429.90,"tract"
"7058-7-1-25-1",708774.30,3973413.20,"tract"
"7058-7-1-55-1",708799.60,3973413.40,"tract"
"7058-7-1-55-5",708801.10,3973413.50,"tract"
"7058-7-1-55-6",708799.20,3973413.20,"tract"
"7058-7-1-55-7",708803.60,3973414.30,"tract"
"7058-7-1-75-1",708816.70,3973413.60,"tract"
"7063-26-1-5-1",708849.80,3973367.90,"tract"
"7063-26-1-5-2",708853.80,3973368.60,"tract"
"7063-26-1-5-3",708854.40,3973367.40,"tract"
"7063-26-1-55-1",708805.40,3973368.70,"tract"
"7063-26-1-55-2",708807.30,3973368.30,"tract"
"7063-26-1-55-3",708802.80,3973367.60,"tract"
"7063-26-1-55-4",708809.80,3973367.90,"tract"
"7063-26-1-55-5",708803.20,3973367.30,"tract"
"7063-26-1-55-6",708807.60,3973367.90,"tract"
"7063-26-1-55-7",708805.80,3973367.90,"tract"
"7063-26-1-55-8",708804.70,3973368.50,"tract"
"7063-26-1-55-9",708809.80,3973367.70,"tract"
"7063-26-1-65-1",708794.50,3973368.60,"tract"
"7063-26-1-85-1",708776.80,3973367.90,"tract"
"7063-33-1-85-1",708782.60,3973353.80,"tract"
"7063-33-1-85-2",708784.10,3973353.30,"tract"
"7063-7-1-15-1",708845.10,3973338.40,"tract"
"7063-7-1-55-1",708810.00,3973338.00,"tract"
"7068-20-1-65-2",708858.60,3973246.80,"tract"
"7071-26-1-35-1",709030.00,3973216.30,"tract"
"7072-11-1-45-1",708991.80,3973155.20,"tract"
"7072-11-1-45-2",708989.50,3973155.70,"tract"
"7072-20-1-55-2",708974.80,3973169.70,"tract"
"7072-26-1-25-1",709010.10,3973216.20,"tract"
"7072-26-1-25-2",709002.70,3973216.00,"tract"
"7072-26-1-25-3",709002.50,3973215.30,"tract"
"7072-26-1-25-4",709004.20,3973216.10,"tract"
"7072-26-1-25-5",709007.50,3973216.70,"tract"
"7072-7-1-5-2",709024.30,3973185.40,"tract"
"7081-20-1-65-1",708989.20,3973094.60,"tract"
"7081-7-1-55-1",708986.10,3973110.00,"tract"
"7096-7-1-75-1",709139.00,3972853.80,"tract"
"7124-39-1-15-1",708152.00,3971931.60,"tract"
"7125-40-1-95-2",708307.00,3971946.80,"tract"
"7126-39-1-75-1",708366.30,3971932.50,"tract"
"7127-26-1-15-1",708385.10,3971980.30,"tract"
"7129-25-1-25-3",708381.70,3972036.90,"tract"
"7129-26-1-75-1",708337.70,3972021.90,"tract"
"7129-39-1-25-1",708388.20,3972065.00,"tract"
"7129-39-1-55-2",708354.40,3972065.10,"tract"
"7129-40-1-5-1",708402.00,3972051.40,"tract"
"7129-40-1-5-2",708402.90,3972050.50,"tract"
"7129-40-1-5-5",708399.00,3972051.20,"tract"
"7129-40-1-65-1",708349.70,3972050.50,"tract"
"7129-40-1-65-3",708344.30,3972051.80,"tract"
"7129-5-1-95-2",708316.00,3972008.60,"tract"
"7129-5-1-95-3",708320.10,3972007.10,"tract"
"7130-25-1-5-3",708306.00,3972036.00,"tract"
"7130-25-1-5-5",708305.10,3972036.00,"tract"
"7130-25-1-5-7",708305.70,3972036.00,"tract"
"7130-25-1-5-8",708310.00,3972037.10,"tract"
"7130-26-1-15-1",708301.30,3972021.40,"tract"
"7130-39-1-5-1",708310.70,3972065.60,"tract"
"7130-39-1-85-1",708225.10,3972065.00,"tract"
"7134-5-1-5-1",708210.60,3972146.30,"tract"
"7135-25-1-25-2",708234.20,3972081.20,"tract"
"7135-5-1-5-1",708213.60,3972146.90,"tract"
"7135-5-1-5-4",708219.90,3972146.90,"tract"
"7135-5-1-75-1",708292.10,3972147.50,"tract"
"7135-5-1-75-2",708295.10,3972147.60,"tract"
"7136-39-1-75-2",708388.80,3972113.30,"tract"
"7136-5-1-25-2",708344.70,3972146.60,"tract"
"7136-5-1-5-1",708318.20,3972147.80,"tract"
"7138-5-1-35-1",708380.10,3972163.40,"tract"
"7138-5-1-35-2",708379.10,3972163.30,"tract"
"7138-5-1-35-3",708375.40,3972162.90,"tract"
"7138-5-1-55-1",708359.80,3972163.40,"tract"
"7139-5-1-15-1",708307.30,3972163.30,"tract"
"7139-5-1-15-3",708310.60,3972163.90,"tract"
"7139-5-1-5-4",708319.50,3972162.30,"tract"
"7145-27-1-35-2",708338.40,3972286.00,"tract"
"7149-26-1-65-1",708139.90,3972366.20,"tract"
"7149-27-1-25-2",708109.40,3972334.20,"tract"
"7151-25-1-45-2",708303.80,3972350.10,"tract"
"7151-39-1-35-1",708294.20,3972317.40,"tract"
"7153-27-1-55-2",708266.60,3972447.00,"tract"
"7153-32-1-65-1",708278.00,3972397.20,"tract"
"7155-25-1-75-1",708083.80,3972463.60,"tract"
"7157-27-1-65-1",708208.30,3972495.40,"tract"
"7157-27-1-65-2",708213.40,3972496.00,"tract"
"7158-39-1-45-1",708276.50,3972511.90,"tract"
"8000-14-1-45-1",709167.60,3971021.50,"tract"
"8000-2-1-15-2",709135.50,3970971.50,"tract"
"8000-26-1-5-2",709184.30,3970982.50,"tract"
"8001-20-1-75-1",709136.30,3971145.90,"tract"
"8019-14-1-55-2",709091.90,3971241.50,"tract"
"8019-14-1-55-3",709091.40,3971241.50,"tract"
"8019-36-1-35-2",709105.90,3971266.80,"tract"
"8019-36-1-35-3",709106.50,3971266.10,"tract"
"8019-36-1-35-4",709106.10,3971263.10,"tract"
"8019-36-1-35-5",709106.50,3971263.80,"tract"
"8019-36-1-65-3",709104.90,3971237.40,"tract"
"8020-14-1-15-1",709090.40,3971192.30,"tract"
"8020-14-1-35-1",709091.40,3971169.70,"tract"
"8022-14-1-55-2",709091.50,3970938.90,"tract"
"8035-2-1-5-1",708954.80,3970870.00,"tract"
"8035-2-1-5-2",708956.00,3970875.50,"tract"
"8040-20-1-5-1",709033.40,3970587.80,"tract"
"8040-20-1-15-1",709033.60,3970583.00,"tract"
"8040-20-1-15-2",709033.70,3970581.50,"tract"
